classes,count,,,,,
http://dbpedia.org/class/yago/AmericanGospelSingers,46,,,,,
http://umbel.org/umbel/rc/ChemicalSubstanceType,45,,,,,
http://dbpedia.org/class/yago/AmericanBluesMusicians,45,,,,,
http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1994,45,,,,,
http://dbpedia.org/ontology/Grape,45,,,,,
http://dbpedia.org/ontology/Colour,45,,,,,
http://dbpedia.org/class/yago/MusicalGroupsFromLondon,44,,,,,
http://dbpedia.org/class/yago/AmericanVegetarians,44,,,,,
http://dbpedia.org/class/yago/MusicalGroupsFromCalifornia,43,,,,,
http://dbpedia.org/class/yago/AmericanPeopleOfEnglishDescent,43,,,,,
http://dbpedia.org/class/yago/FrenchMaleSingers,43,,,,,
http://dbpedia.org/ontology/bandMember,43,,,,,
http://dbpedia.org/class/yago/AmericanRockDrummers,42,,,,,
http://dbpedia.org/ontology/HockeyTeam,42,,,,,
http://dbpedia.org/class/yago/AmericanJazzTrumpeters,42,,,,,
http://dbpedia.org/class/yago/PeopleFromNewYorkCity,42,,,,,
http://dbpedia.org/class/yago/JewishSingers,42,,,,,
http://dbpedia.org/class/yago/AmericanJazzSaxophonists,42,,,,,
http://dbpedia.org/class/yago/JewishComposersAndSongwriters,42,,,,,
http://dbpedia.org/class/yago/DeccaRecordsArtists,42,,,,,
http://dbpedia.org/class/yago/AmericanFilmScoreComposers,41,,,,,
http://dbpedia.org/class/yago/RappersFromNewYorkCity,41,,,,,
http://dbpedia.org/ontology/Aircraft,41,,,,,
http://dbpedia.org/class/yago/RCARecordsArtists,41,,,,,
http://dbpedia.org/class/yago/MusiciansFromOklahoma,41,,,,,
http://dbpedia.org/class/yago/AmericanHouseMusicians,40,,,,,
http://dbpedia.org/class/yago/EnglishFilmActors,40,,,,,
http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1998,40,,,,,
http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1989,40,,,,,
http://dbpedia.org/class/yago/MusiciansFromLosAngeles,California,40,,,,
http://dbpedia.org/class/yago/JamaicanReggaeMusicians,40,,,,,
http://dbpedia.org/class/yago/EnglishRecordProducers,40,,,,,
http://dbpedia.org/class/yago/HipHopSingers,40,,,,,
http://dbpedia.org/ontology/Drug,40,,,,,
http://dbpedia.org/ontology/Broadcaster,40,,,,,
http://www.opengis.net/gml/_Feature,40,,,,,
http://dbpedia.org/class/yago/MusiciansFromOhio,40,,,,,
http://dbpedia.org/class/yago/JewishClassicalMusicians,39,,,,,
http://dbpedia.org/class/yago/AmericanHeavyMetalSingers,39,,,,,
http://dbpedia.org/class/yago/MusicalGroupsFromLosAngeles,California,39,,,,
http://dbpedia.org/class/yago/PhysicalEntity100001930,39,,,,,
http://dbpedia.org/class/yago/FeministMusicians,39,,,,,
http://dbpedia.org/class/yago/AfricanAmericanFilmActors,39,,,,,
http://dbpedia.org/ontology/WorldHeritageSite,38,,,,,
http://dbpedia.org/class/yago/PeopleSelf-identifyingAsSubstanceAbusers,38,,,,,
http://dbpedia.org/class/yago/EnglishExpatriatesInTheUnitedStates,38,,,,,
http://dbpedia.org/class/yago/Avant-gardeJazzMusicians,38,,,,,
http://dbpedia.org/class/yago/AmericanFolkGuitarists,38,,,,,
http://dbpedia.org/class/yago/JuilliardSchoolAlumni,38,,,,,
http://dbpedia.org/class/yago/AmericanBaritones,38,,,,,
http://dbpedia.org/class/yago/German-languageSingers,38,,,,,
