Concept,count
http://dbpedia.org/class/yago/WikicatOlympicMedalistsInAthletics(trackAndField),2626
http://dbpedia.org/class/yago/WikicatUndraftedNationalFootballLeaguePlayers,2619
http://dbpedia.org/ontology/CultivatedVariety,2611
http://dbpedia.org/class/yago/WikicatUnitedStatesArmyOfficers,2605
http://dbpedia.org/class/yago/WikicatAmericanRecordProducers,2578
http://dbpedia.org/ontology/Holiday,2578
http://dbpedia.org/class/yago/WikicatAmericanTelevisionProducers,2575
http://dbpedia.org/class/yago/WikicatAmericanFootballLinebackers,2554
http://dbpedia.org/class/yago/WikicatUnitedStatesArmySoldiers,2514
http://www.wikidata.org/entity/Q847400,2512
http://dbpedia.org/class/yago/WikicatAmericanArtists,2508
http://dbpedia.org/class/yago/WikicatAmericanMaleNovelists,2494
http://dbpedia.org/class/yago/WikicatUnitedStatesSupremeCourtCases,2492
http://dbpedia.org/class/yago/WikicatSwissPeople,2487
http://dbpedia.org/class/yago/WikicatTamil-languageFilms,2481
http://dbpedia.org/class/yago/WikicatAmericanBaseballPlayers,2457
http://dbpedia.org/ontology/Restaurant,2432
http://dbpedia.org/ontology/Tower,2430
http://www.wikidata.org/entity/Q12518,2430
http://www.wikidata.org/entity/Q39715,2430
http://www.wikidata.org/entity/Q1028181,2391
http://dbpedia.org/ontology/AmusementParkAttraction,2372
"http://dbpedia.org/class/yago/WikicatPeopleFromLosAngeles,California",2338
"http://dbpedia.org/class/yago/WikicatPeopleFromBoston,Massachusetts",2331
http://www.wikidata.org/entity/Q23413,2329
http://dbpedia.org/class/yago/WikicatPrimeiraLigaPlayers,2321
http://dbpedia.org/class/yago/WikicatAmericanSilentFeatureFilms,2271
http://dbpedia.org/class/yago/WikicatAmericanMaleStageActors,2245
http://dbpedia.org/class/yago/WikicatAlumniOfTheUniversityOfEdinburgh,2244
http://dbpedia.org/class/yago/WikicatPolishPeople,2239
http://dbpedia.org/class/yago/WikicatAustralianRugbyLeaguePlayers,2236
http://dbpedia.org/class/yago/WikicatBaseballPlayersFromCalifornia,2226
http://dbpedia.org/class/yago/WikicatPeopleFromNewYork,2224
http://dbpedia.org/class/yago/WikicatAmericanStageActresses,2203
http://dbpedia.org/class/yago/WikicatAmericanFootballQuarterbacks,2202
http://dbpedia.org/ontology/Game,2188
http://dbpedia.org/ontology/TradeUnion,2183
http://dbpedia.org/class/yago/WikicatStanfordUniversityAlumni,2179
http://dbpedia.org/class/yago/WikicatAmericanEducators,2176
http://dbpedia.org/class/yago/WikicatPrimeraDivisiónArgentinaPlayers,2173
