classes,count
http://wikidata.dbpedia.org/ontology/WinterSportPlayer,22335
http://dbpedia.org/dbtax/Director,22324
http://dbpedia.org/ontology/Language,22094
http://dbpedia.org/ontology/SoccerManager,21987
http://dbpedia.org/ontology/AmericanFootballPlayer,21684
http://wikidata.dbpedia.org/ontology/BaseballPlayer,21518
http://dbpedia.org/dbtax/Art,21405
http://dbpedia.org/dbtax/Publication,21038
http://dbpedia.org/dbtax/Official,21018
http://dbpedia.org/dbtax/Type,21007
http://dbpedia.org/ontology/Type,21007
http://wikidata.dbpedia.org/ontology/SoccerClub,20916
http://wikidata.dbpedia.org/ontology/City,20832
http://www.wikidata.org/entity/Q11436,20792
http://wikidata.dbpedia.org/ontology/VideoGame,20331
http://dbpedia.org/ontology/Biomolecule,20329
http://wikidata.dbpedia.org/ontology/Road,20126
http://wikidata.dbpedia.org/ontology/HistoricPlace,20044
http://dbpedia.org/dbtax/Activist,20027
http://dbpedia.org/dbtax/Composer,20012
http://dbpedia.org/ontology/SoccerTournament,19964
http://www.wikidata.org/entity/Q11173,19957
http://dbpedia.org/dbtax/Educator,19756
http://dbpedia.org/dbtax/Title,19536
http://www.wikidata.org/entity/Q500834,19380
http://wikidata.dbpedia.org/ontology/University,19361
http://dbpedia.org/ontology/PeriodicalLiterature,19242
http://wikidata.dbpedia.org/ontology/RadioStation,19229
http://dbpedia.org/dbtax/Language,19088
http://dbpedia.org/ontology/IceHockeyPlayer,19067
http://dbpedia.org/dbtax/Scholar,19044
http://dbpedia.org/dbtax/Occupation,19008
http://dbpedia.org/ontology/Fish,18980
http://dbpedia.org/ontology/Tournament,18974
http://dbpedia.org/dbtax/Show,18854
http://wikidata.dbpedia.org/ontology/AmericanFootballPlayer,18777
http://dbpedia.org/ontology/RecordLabel,18498
http://wikidata.dbpedia.org/ontology/Fish,18492
http://dbpedia.org/dbtax/Catholic,18409
http://schema.org/Language,18350
http://www.wikidata.org/entity/Q315,18350
http://www.wikidata.org/entity/Q34770,18350
http://dbpedia.org/ontology/MotorsportSeason,18275
http://www.wikidata.org/entity/Q40231,18226
http://wikidata.dbpedia.org/ontology/PeriodicalLiterature,18162
http://dbpedia.org/ontology/FictionalCharacter,18101
http://dbpedia.org/dbtax/Championship,18054
http://wikidata.dbpedia.org/ontology/Biomolecule,17978
http://dbpedia.org/ontology/ChemicalSubstance,17893
http://dbpedia.org/ontology/SportsManager,17654
http://wikidata.dbpedia.org/ontology/SoccerManager,17625
http://wikidata.dbpedia.org/ontology/SportsManager,17625
http://dbpedia.org/dbtax/Burial,17372
http://wikidata.dbpedia.org/ontology/MilitaryUnit,17263
http://dbpedia.org/ontology/Mammal,17231
